False Positive Rate,True Positive Rate,Thresholds
0.008992191590593484,0.014865764366540937,0.8992421
0.008992191590593484,0.015087641446638562,0.899153
0.00921984201060851,0.015087641446638562,0.89692086
0.00921984201060851,0.015309518526736189,0.896747
0.009675142850638559,0.015309518526736189,0.8931323
0.009675142850638559,0.015531395606833814,0.89299774
0.00976620301864457,0.015531395606833814,0.8904129
0.00976620301864457,0.01575327268693144,0.8901578
0.009993853438659593,0.01575327268693144,0.8870639
0.009993853438659593,0.015975149767029066,0.8862368
0.010084913606665604,0.015975149767029066,0.8856862
0.010084913606665604,0.01619702684712669,0.88566196
0.010153208732670112,0.01619702684712669,0.8853457
0.010153208732670112,0.016418903927224317,0.8852092
0.010244268900676121,0.016418903927224317,0.8846366
0.010244268900676121,0.016640781007321942,0.88457006
0.010403624194686639,0.016640781007321942,0.8836546
