mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,mean_test_score,std_test_score
11.778,0.447,0.875,0.052,0.177,9,1950,0.074,0.005,0.424,0.013
10.727,0.225,0.731,0.088,0.088,9,1439,0.136,0.009,0.424,0.014
2.486,0.104,0.102,0.007,0.299,7,565,6.639,0.523,0.424,0.015
6.698,0.117,0.464,0.027,0.194,9,1027,0.001,0.686,0.424,0.015
2.155,0.1,0.053,0.003,0.283,5,1324,26.864,1.282,0.424,0.013
5.099,0.182,0.297,0.023,0.18,6,1159,0.149,6.016,0.424,0.023
2.44,0.028,0.13,0.008,0.255,5,695,0.0,15.408,0.424,0.035
4.41,0.249,0.196,0.005,0.226,9,561,2.385,0.0,0.424,0.015
5.715,0.191,0.362,0.037,0.258,6,1282,0.064,19.108,0.424,0.02
3.75,0.1,0.158,0.015,0.062,9,622,23.559,18.523,0.424,0.011
3.975,0.07,0.184,0.012,0.305,3,1885,0.001,6.536,0.424,0.032
1.923,0.045,0.086,0.005,0.299,3,838,0.0,0.002,0.424,0.025
6.56,0.111,0.488,0.036,0.255,9,1138,0.014,0.0,0.424,0.008
3.67,0.189,0.157,0.008,0.218,6,1105,4.582,0.004,0.424,0.012
4.069,0.13,0.174,0.013,0.231,3,1826,0.0,5.868,0.424,0.026
4.949,0.166,0.265,0.03,0.097,4,1840,0.014,8.506,0.424,0.034
12.287,0.476,0.779,0.063,0.242,8,1786,0.001,24.758,0.424,0.014
2.994,0.158,0.105,0.01,0.309,9,980,8.175,0.0,0.424,0.017
7.07,0.217,0.402,0.024,0.262,5,1988,0.074,0.115,0.424,0.016
4.407,0.256,0.15,0.01,0.286,9,1430,6.007,7.647,0.423,0.008
6.222,0.129,0.46,0.029,0.302,8,1202,0.001,0.286,0.423,0.01
4.193,0.131,0.212,0.016,0.25,4,1543,0.031,0.155,0.423,0.029
6.627,0.255,0.456,0.044,0.192,8,1174,0.0,0.989,0.423,0.012
5.761,0.175,0.305,0.021,0.033,5,1580,9.883,0.248,0.423,0.021
2.693,0.093,0.13,0.008,0.297,4,981,0.002,0.161,0.423,0.034
5.591,0.241,0.281,0.015,0.215,8,745,1.666,1.907,0.423,0.008
2.374,0.1,0.106,0.007,0.238,3,1043,0.009,0.337,0.423,0.018
3.663,0.137,0.208,0.014,0.295,7,678,0.0,9.586,0.423,0.011
5.894,0.088,0.326,0.02,0.064,5,1582,5.233,0.018,0.423,0.038
3.475,0.108,0.18,0.009,0.133,4,1257,0.002,0.002,0.423,0.029
4.075,0.062,0.184,0.014,0.19,3,1921,0.087,8.757,0.423,0.027
4.402,0.138,0.19,0.014,0.283,3,1964,0.892,0.001,0.423,0.031
4.533,0.07,0.229,0.014,0.267,4,1683,0.006,0.118,0.423,0.025
2.807,0.043,0.124,0.009,0.246,3,1266,0.331,0.001,0.423,0.023
3.283,0.106,0.141,0.009,0.262,3,1450,2.019,0.011,0.423,0.03
4.358,0.27,0.163,0.016,0.269,9,1152,3.784,0.017,0.423,0.016
5.404,0.071,0.308,0.022,0.252,5,1617,0.049,0.02,0.423,0.02
4.16,0.162,0.183,0.012,0.138,6,1197,6.127,0.351,0.423,0.018
6.83,0.261,0.507,0.042,0.266,9,1223,0.001,0.354,0.423,0.015
2.963,0.096,0.146,0.011,0.255,6,592,3.158,0.001,0.423,0.015
10.919,0.416,0.792,0.085,0.162,9,1694,0.001,2.407,0.423,0.008
15.206,0.175,1.036,0.065,0.309,9,1924,0.002,21.16,0.423,0.012
5.463,0.12,0.332,0.021,0.081,5,1634,0.017,7.402,0.423,0.027
7.875,0.063,0.484,0.034,0.148,8,1127,0.002,13.381,0.423,0.014
5.45,0.18,0.338,0.033,0.189,5,1637,0.0,11.367,0.423,0.021
3.244,0.106,0.145,0.009,0.174,3,1472,0.009,0.0,0.423,0.025
2.707,0.048,0.115,0.006,0.233,3,1211,0.04,0.101,0.423,0.026
1.64,0.062,0.06,0.004,0.148,7,608,25.884,0.057,0.423,0.015
5.743,0.224,0.332,0.03,0.305,8,831,0.289,1.377,0.423,0.011
4.134,0.071,0.18,0.013,0.197,3,1848,1.792,0.522,0.423,0.033
2.706,0.087,0.14,0.009,0.243,6,588,0.003,79.272,0.423,0.024
9.375,0.158,0.481,0.056,0.286,8,1672,1.981,25.548,0.423,0.014
6.088,0.098,0.389,0.024,0.109,6,1345,0.166,9.158,0.423,0.025
8.074,0.247,0.528,0.074,0.227,7,1382,0.006,65.5,0.423,0.019
14.148,0.241,0.952,0.058,0.298,9,1745,0.152,12.581,0.423,0.012
5.917,0.144,0.36,0.023,0.221,6,1433,0.031,0.546,0.423,0.013
2.162,0.025,0.115,0.007,0.298,5,600,0.006,0.008,0.423,0.022
2.323,0.043,0.124,0.007,0.279,5,673,0.003,2.465,0.423,0.038
4.432,0.144,0.226,0.015,0.19,5,1200,3.608,18.552,0.423,0.029
3.764,0.07,0.168,0.012,0.154,3,1753,0.014,0.0,0.423,0.025
4.182,0.093,0.218,0.012,0.089,5,1145,3.099,0.458,0.423,0.033
6.443,0.278,0.378,0.023,0.087,9,810,0.0,0.0,0.422,0.013
2.746,0.041,0.135,0.009,0.211,4,981,0.003,0.0,0.422,0.018
2.67,0.07,0.131,0.009,0.248,6,556,4.944,69.53,0.422,0.017
8.403,0.053,0.513,0.037,0.055,7,1313,2.91,8.211,0.422,0.018
2.003,0.076,0.087,0.006,0.243,3,883,0.3,0.004,0.422,0.027
2.62,0.025,0.139,0.009,0.192,5,735,0.0,0.001,0.422,0.02
2.126,0.035,0.111,0.007,0.158,5,596,0.902,0.325,0.422,0.024
8.569,0.505,0.568,0.051,0.224,8,1463,0.196,0.001,0.422,0.016
6.04,0.141,0.378,0.035,0.265,6,1413,0.002,20.479,0.422,0.022
3.446,0.07,0.17,0.011,0.181,4,1241,1.127,0.703,0.422,0.029
3.995,0.094,0.262,0.016,0.295,9,612,0.0,0.0,0.422,0.02
4.887,0.085,0.244,0.016,0.294,4,1707,1.187,1.346,0.422,0.029
6.972,0.273,0.383,0.03,0.17,9,828,0.0,13.306,0.422,0.014
4.372,0.163,0.195,0.012,0.157,3,1997,0.001,6.738,0.422,0.025
4.619,0.141,0.26,0.022,0.205,7,816,0.159,10.303,0.422,0.012
9.433,0.372,0.598,0.049,0.047,7,1601,0.359,0.001,0.422,0.02
7.026,0.043,0.427,0.027,0.149,9,874,0.002,4.249,0.422,0.013
4.69,0.077,0.232,0.016,0.307,4,1661,0.0,0.078,0.422,0.033
4.966,0.111,0.253,0.015,0.22,4,1802,0.001,0.0,0.422,0.028
4.46,0.22,0.229,0.013,0.121,4,1634,0.002,0.276,0.422,0.038
5.34,0.083,0.31,0.022,0.114,5,1623,0.002,0.001,0.422,0.024
3.416,0.129,0.11,0.007,0.3,2,1851,0.287,0.007,0.422,0.016
5.115,0.064,0.29,0.019,0.131,5,1462,0.0,96.314,0.422,0.024
6.277,0.138,0.341,0.029,0.296,7,1039,0.7,31.71,0.422,0.019
4.029,0.061,0.203,0.013,0.247,4,1438,0.03,56.443,0.422,0.033
4.463,0.157,0.201,0.012,0.078,8,519,2.344,0.138,0.422,0.02
4.192,0.071,0.217,0.018,0.284,4,1569,0.002,1.164,0.422,0.021
8.534,0.359,0.621,0.071,0.206,7,1844,0.002,0.653,0.422,0.017
2.095,0.083,0.11,0.008,0.26,5,587,0.043,27.598,0.422,0.032
2.137,0.031,0.096,0.006,0.205,3,956,0.305,0.912,0.422,0.023
6.166,0.167,0.45,0.047,0.296,7,1320,0.012,0.425,0.422,0.014
4.336,0.217,0.145,0.007,0.225,6,1969,7.777,2.924,0.422,0.019
4.817,0.098,0.323,0.019,0.303,9,788,0.0,0.072,0.422,0.01
4.924,0.107,0.317,0.017,0.202,9,739,0.005,0.031,0.422,0.014
11.38,0.51,0.715,0.079,0.121,9,1556,0.351,0.005,0.422,0.016
4.814,0.197,0.255,0.015,0.268,9,548,0.449,0.0,0.421,0.017
3.616,0.12,0.125,0.01,0.196,7,1418,7.654,0.369,0.421,0.023
10.203,0.086,0.658,0.041,0.031,8,1433,0.001,0.28,0.421,0.017
