mean_fit_time,std_fit_time,mean_score_time,std_score_time,C,class_weight,max_iter,penalty,mean_test_score,std_test_score
0.607,0.066,0.013,0.002,1.548,balanced,5934,l2,0.517,0.048
0.601,0.078,0.013,0.001,5.489,balanced,8691,l2,0.517,0.048
0.564,0.086,0.013,0.001,8.688,balanced,9887,l2,0.517,0.048
0.668,0.025,0.014,0.001,3.022,balanced,6414,l2,0.517,0.048
0.675,0.105,0.013,0.001,68.54,balanced,7750,l2,0.517,0.048
0.628,0.057,0.014,0.001,4.596,balanced,9234,l2,0.517,0.048
0.612,0.117,0.014,0.001,5.917,balanced,7288,l2,0.517,0.048
0.613,0.071,0.013,0.002,3.717,balanced,9235,l2,0.517,0.048
0.669,0.113,0.014,0.001,1.205,balanced,8744,l2,0.517,0.047
0.568,0.035,0.015,0.001,0.84,balanced,6762,l2,0.517,0.048
0.603,0.086,0.014,0.001,3.261,balanced,5687,l2,0.517,0.048
0.593,0.05,0.013,0.001,0.902,balanced,8615,l2,0.517,0.047
0.574,0.052,0.014,0.001,0.583,balanced,6615,l2,0.517,0.048
0.63,0.107,0.016,0.002,17.626,balanced,8677,l2,0.516,0.048
0.574,0.091,0.013,0.001,1.074,balanced,9300,l2,0.516,0.047
0.55,0.068,0.014,0.001,0.586,balanced,6818,l2,0.516,0.048
0.58,0.034,0.014,0.001,0.756,balanced,9806,l2,0.516,0.048
0.607,0.053,0.014,0.001,0.567,balanced,7569,l2,0.516,0.048
0.51,0.084,0.013,0.001,0.465,balanced,7163,l2,0.516,0.048
0.548,0.014,0.013,0.001,1.049,balanced,6715,l2,0.516,0.047
0.642,0.136,0.016,0.005,0.525,balanced,7566,l2,0.516,0.048
0.539,0.048,0.013,0.001,0.302,balanced,5157,l2,0.516,0.047
0.576,0.054,0.014,0.001,0.305,balanced,8279,l2,0.516,0.047
0.561,0.066,0.016,0.002,0.415,balanced,8467,l2,0.516,0.048
0.528,0.07,0.015,0.002,0.228,balanced,5923,l2,0.516,0.047
0.51,0.047,0.013,0.001,0.203,balanced,9523,l2,0.516,0.046
0.448,0.065,0.013,0.001,0.189,balanced,9427,l2,0.515,0.047
0.462,0.043,0.013,0.002,0.109,balanced,8355,l2,0.515,0.045
0.49,0.014,0.013,0.001,0.161,balanced,5067,l2,0.515,0.046
0.453,0.066,0.014,0.001,0.121,balanced,8030,l2,0.515,0.046
0.525,0.024,0.014,0.002,0.16,balanced,5384,l2,0.515,0.046
0.485,0.011,0.014,0.001,0.143,balanced,6117,l2,0.515,0.046
0.516,0.06,0.015,0.002,0.156,balanced,5139,l2,0.515,0.046
0.471,0.066,0.014,0.001,0.152,balanced,6646,l2,0.515,0.046
0.408,0.041,0.014,0.002,0.088,balanced,9509,l2,0.514,0.046
0.419,0.04,0.014,0.002,0.085,balanced,8820,l2,0.514,0.046
0.409,0.019,0.013,0.001,0.068,balanced,9625,l2,0.514,0.046
0.421,0.048,0.013,0.002,0.066,balanced,7902,l2,0.513,0.046
0.453,0.097,0.013,0.001,0.06,balanced,7737,l2,0.513,0.045
0.376,0.017,0.014,0.001,0.057,balanced,8134,l2,0.513,0.046
0.324,0.038,0.012,0.0,0.036,balanced,5471,l2,0.512,0.046
0.393,0.053,0.014,0.002,0.044,balanced,5626,l2,0.512,0.046
0.359,0.021,0.013,0.001,0.044,balanced,8612,l2,0.512,0.046
0.344,0.014,0.013,0.001,0.04,balanced,6419,l2,0.512,0.046
0.338,0.045,0.013,0.001,0.031,balanced,8434,l2,0.512,0.046
0.282,0.067,0.013,0.001,0.021,balanced,5994,l2,0.51,0.043
0.27,0.033,0.014,0.001,0.017,balanced,7424,l2,0.509,0.043
0.278,0.015,0.013,0.001,0.016,balanced,9233,l2,0.509,0.043
0.263,0.008,0.013,0.002,0.013,balanced,9920,l2,0.508,0.042
0.252,0.022,0.014,0.001,0.012,balanced,7599,l2,0.508,0.042
0.24,0.005,0.014,0.001,0.011,balanced,6544,l2,0.507,0.04
0.261,0.014,0.013,0.001,0.011,balanced,6117,l2,0.507,0.04
0.235,0.02,0.013,0.001,0.009,balanced,8208,l2,0.507,0.039
0.251,0.017,0.013,0.001,0.008,balanced,6403,l2,0.507,0.039
0.243,0.022,0.013,0.002,0.007,balanced,5235,l2,0.506,0.038
